S,K,T,r,sigma,C,P,lhs_C_minus_P,rhs_S_minus_PV_K,residual
127.39560485559633,127.74048382411776,1.503302734269027,0.037173465229824246,0.29100234945109316,21.06240160734616,14.464559347815559,6.597842259530601,6.597842259530594,7.105427357601002e-15
93.88784397520523,147.18264260609675,0.7025910251469596,0.09265977059639989,0.40457302527360306,2.452490971546476,46.47065601652771,-44.01816504498124,-44.018165044981245,7.105427357601002e-15
135.85979199113825,100.07411862023423,1.7910369685236214,0.08031646318883644,0.4613311487856212,58.07285508091432,8.879036473366984,49.19381860754734,49.19381860754734,0.0
119.73680290593639,64.38975025512508,1.2282780412540504,0.019952956989649946,0.3882783786873406,57.98523654934764,1.079314373567585,56.905922175780056,56.90592217578004,1.4210854715202004e-14
59.41773478876495,51.39362877082016,0.33945004931859035,0.09973311920538158,0.4852844894197519,12.176948659406982,2.4420636490860996,9.734885010320882,9.734885010320887,-5.329070518200751e-15
147.5622351636756,72.96560299988553,0.37306545676551484,0.08912800218769708,0.4128020682952709,76.99558317995852,0.01269453506702281,76.98288864489149,76.98288864489147,1.4210854715202004e-14
126.1139701990353,63.18222177865211,1.416881311166433,0.03555175940776351,0.4467205753047706,67.71095675295301,1.6753842218439337,66.03557253110908,66.03557253110908,0.0
128.60643052769538,117.76586736128574,0.4285934792399483,0.08532069216948444,0.14564162847345488,15.585525000113876,0.5163001089062913,15.069224891207584,15.069224891207583,1.7763568394002505e-15
62.81136326755458,62.18325046285311,1.0638561330058822,0.01957775786842446,0.3929654011975151,10.917394256438403,9.007528283944776,1.9098659724936269,1.909865972493634,-7.105427357601002e-15
95.03859378955671,100.6329931620633,1.9843715042645504,0.09991942574268148,0.27603547981094745,20.817500685498402,8.3122942412747,12.505206444223703,12.505206444223703,0.0
87.07980242325812,119.42624356428865,0.10761444899334505,0.06991162624958833,0.3212415209645101,0.005294234483178034,31.456603381811263,-31.451309147328086,-31.451309147328075,-1.0658141036401503e-14
142.67649888486017,108.11166092209024,0.13150162360535816,0.06851125140029174,0.36164096379294275,35.61723898308209,0.08276069195856928,35.53447829112352,35.534478291123506,1.4210854715202004e-14
114.38651200806646,69.97756516600576,1.9868607056679624,0.018139665428571948,0.48792604668222783,54.324413604310664,7.438313800971265,46.8860998033394,46.88609980333939,7.105427357601002e-15
132.276161327083,130.41245261822627,1.2108137848549145,0.09073300590069627,0.4938312325726498,35.06418000544947,19.63221198537834,15.431968020071132,15.431968020071139,-7.105427357601002e-15
94.3414198827331,121.54071296158017,0.3411289534851749,0.012609955288402249,0.21529129819516213,0.12001334491236726,26.79760723913779,-26.677593894225424,-26.67759389422541,-1.4210854715202004e-14
72.72387217847769,123.89840039155418,1.8048741795327778,0.03167452522370324,0.39350139897516645,4.796826395693914,49.08692608562561,-44.2900996899317,-44.290099689931694,-7.105427357601002e-15
105.45847870158349,63.10577515573132,1.7727225702426153,0.022871968764997152,0.39999341517410747,48.0691386148322,3.2089474354321563,44.86019117940004,44.86019117940004,0.0
56.38172561041753,62.37538036503446,1.118780784911613,0.07990911466229968,0.23859714452521952,5.371026367525296,6.03027580493093,-0.6592494374056344,-0.6592494374056344,0.0
132.7631171992582,142.75625510065078,1.2814048567354375,0.02783838044916081,0.14954790994568842,6.843992078187945,11.834453973526664,-4.9904618953387185,-4.99046189533874,2.1316282072803006e-14
113.16643991220649,89.75781938249406,0.619055663851665,0.09195744044177968,0.11637878411428791,28.37750480527623,0.0019774043600405966,28.37552740091619,28.375527400916198,-7.105427357601002e-15
125.80877400853738,80.09486917809397,0.19598742310680978,0.06906421353947412,0.41093725101167144,46.82111040421442,0.030368395012004057,46.79074200920242,46.79074200920242,0.0
85.45259681298683,98.85840453515334,1.2296784568926422,0.01325464394452266,0.2958798967267624,6.905487074716827,18.71306669461775,-11.807579619900924,-11.80757961990092,-3.552713678800501e-15
147.06980243949033,116.28642127635824,0.6600348670852496,0.010488685071583043,0.49421606779797045,40.28590592926409,8.700265931568833,31.585639997695257,31.585639997695253,3.552713678800501e-15
139.31211213221977,145.562325704697,1.3608799886546687,0.014649212531295905,0.2859893824774612,17.03930713901827,20.41635101598773,-3.3770438769694593,-3.377043876969452,-7.105427357601002e-15
127.83834970737618,78.6446226882055,1.6888658360009423,0.0645332659882955,0.49116679162953614,62.875861180558545,5.561381102046164,57.31448007851238,57.314480078512375,7.105427357601002e-15
69.46387078519676,142.48084293120272,0.1345050334372917,0.08213336297734739,0.26463040087762396,1.9937380303695198e-13,71.45159883565303,-71.45159883565283,-71.45159883565283,0.0
96.67210037270343,52.48594913862563,1.231856171902882,0.031469753856464965,0.4174728602239891,47.34183832337351,1.1599394533749399,46.18189886999857,46.18189886999858,-7.105427357601002e-15
54.380376578722874,105.51980423268247,0.5394330254050193,0.08644679586307658,0.13392770892473282,2.0639978300054378e-10,46.33176825065198,-46.331768250445585,-46.33176825044558,-7.105427357601002e-15
