S,delta_call,delta_put,gamma,vega,theta_call,theta_put,rho_call,rho_put
50.0,0.0009174326039451515,-0.9990825673960548,0.0003110898644849087,0.15554493224245433,-0.017728103856442825,4.738419018647128,0.04347221264394784,-95.07947023742746
50.50251256281407,0.001085676578798928,-0.9989143234212011,0.00035946607767830125,0.18336391763189122,-0.020932776841621405,4.73521434566195,0.051927701568645596,-95.07101474850276
51.00502512562814,0.001279694653879722,-0.9987203053461203,0.00041375072345807784,0.2152755430795173,-0.024616353920808406,4.731530768582762,0.06177599225713349,-95.06116645781427
51.50753768844221,0.0015025774942827785,-0.9984974225057173,0.0004744298642844361,0.2517349946535874,-0.02883357019320197,4.727313552310369,0.07320141455686463,-95.04974103551454
52.01005025125628,0.0017576629198950344,-0.998242337080105,0.0005420006377223434,0.2932272584753503,-0.03364301336136044,4.722504109142211,0.08640575027650824,-95.0365366997949
52.51256281407035,0.002048540728587793,-0.9979514592714122,0.0006169682544145223,0.34026653772733956,-0.039107102871867555,4.717040019631703,0.10160898198267194,-95.02133346808873
53.015075376884425,0.0023790559401558695,-0.9976209440598441,0.0006998427185204527,0.39339533940113985,-0.04529203246920947,4.710855090034361,0.11904997058190969,-95.0038924794895
53.517587939698494,0.0027533103277125165,-0.9972466896722875,0.0007911352959443517,0.4531832181220083,-0.05226767430355442,4.703879448200016,0.13898704982707177,-94.98395540024434
54.02010050251256,0.0031756621170800697,-0.9968243378829199,0.0008913547600162997,0.5202251683259698,-0.060107443140694314,4.696039679362876,0.16169852616194672,-94.96124392390946
54.52261306532663,0.0036507237506320836,-0.9963492762493679,0.00100100344823382,0.595139660284871,-0.068888119666576,4.687259002836994,0.18748307276177803,-94.93545937730963
55.0251256281407,0.004183357629824281,-0.9958166423701758,0.0011205731671445726,0.6785663199088513,-0.07868963235273843,4.6774574901508315,0.216660007237066,-94.90628244283434
55.527638190954775,0.004778669770048279,-0.9952213302299517,0.0012505409853935763,0.7711632568319949,-0.08959479784513016,4.66655232465844,0.2495694432386133,-94.8733730068328
56.030150753768844,0.005442001322172535,-0.9945579986778275,0.001391364957320551,0.8736040499304775,-0.1016890203492826,4.654458102154288,0.2865723071246966,-94.8363701429467
56.53266331658291,0.006178917936899436,-0.9938210820631006,0.0015434798212373168,0.9865744040572102,-0.11505995100150651,4.641087171502064,0.32805021191570966,-94.7948922381557
57.03517587939699,0.006995196970547165,-0.9930048030294528,0.0017072927176166313,1.1107684963267015,-0.12979710873037686,4.626350013773194,0.374405181954134,-94.74853726811727
57.537688442211056,0.007896812553733598,-0.9921031874462664,0.0018831789728698967,1.2468850346742542,-0.14599146461707052,4.610155657886501,0.4260592229929021,-94.6968832270785
58.040201005025125,0.008889918567368971,-0.991110081432631,0.002071477994182596,1.3956230555740703,-0.16373499224919727,4.592412130254373,0.48345373383580464,-94.6394887162356
58.54271356783919,0.009980829593022955,-0.9900191704069771,0.0022724893200240953,1.5576774916642018,-0.18312018702295146,4.573026935480619,0.5470487571306253,-94.57589369294078
59.04522613065326,0.011175999926810865,-0.9888240000731892,0.002486468869477737,1.733734543533093,-0.2042395577757921,4.551907564727778,0.6173220684496561,-94.50562038162174
59.54773869346734,0.012482000767128883,-0.9875179992328711,0.002713625431479624,1.924466893017588,-0.22718509451985922,4.52896202798371,0.694768104362008,-94.4281743457094
60.050251256281406,0.013905495706586673,-0.9860945042934133,0.0029541174324552322,2.1305287980010013,-0.25204771638946216,4.504099406114108,0.7798967317872403,-94.34304571828416
60.552763819095475,0.015453214677068007,-0.9845467853229319,0.0032080500177512354,2.3525511108432804,-0.27891670420926906,4.477230418294302,0.8732318624988201,-94.2497105875726
61.05527638190955,0.01713192651376969,-0.9828680734862303,0.0034754724787346503,2.591136264195379,-0.3078791223294639,4.448268000174107,0.9753099181985203,-94.14763253187289
61.55778894472362,0.01894841031912001,-0.98105158968088,0.003756376053534761,2.8468532690263384,-0.33901923455707744,4.417127887946493,1.0866781530888716,-94.03626429698254
62.06030150753769,0.020909425820491583,-0.9790905741795084,0.004050692125202319,3.120232770213735,-0.3724179191369449,4.3837292033666255,1.2078928423114261,-93.91504960775998
62.562814070351756,0.023021682926464847,-0.9769783170735351,0.004358290836624591,3.411762205014535,-0.4081520878002598,4.3479950347033105,1.339517345976125,-93.78342510409527
63.065326633165824,0.025291810694964605,-0.9747081893050354,0.00467898013693363,3.721881109150724,-0.4462941139033373,4.309853008600234,1.4821200597652966,-93.64082239030611
63.5678391959799,0.02772632593282239,-0.9722736740671776,0.0050125052694496375,4.050976614128454,-0.4869112746248744,4.269235847878695,1.6362722642405791,-93.48667018583082
64.07035175879398,0.030331601650173675,-0.9696683983498263,0.005358548706478442,4.399379177782894,-0.5300652120782587,4.226081910425312,1.8025458859993881,-93.32039656407201
64.57286432160804,0.033113835594596075,-0.9668861644054039,0.0057167305315999305,4.767358587935201,-0.5758114180289969,4.180335704474573,1.9815111847095372,-93.14143126536187
65.07537688442211,0.03607901908905516,-0.9639209809109448,0.006086609265502636,5.155120276497846,-0.6241987466891501,4.13194837581442,2.1737343807873093,-92.9492080692841
65.57788944723617,0.0392329063946236,-0.9607670936053764,0.006467683126998595,5.56280197841306,-0.675268959794794,4.0808781627087765,2.379775239069758,-92.74316721100165
66.08040201005025,0.0425809848136715,-0.9574190151863285,0.006859391716643784,5.990470766502536,-0.7290563078633724,4.027090814640198,2.6001846242623743,-92.52275782580904
66.58291457286433,0.04612844574189641,-0.9538715542581035,0.007261118106439397,6.438120489693527,-0.7855871511801433,3.9705599713234268,2.8355020442158128,-92.28744040585559
67.08542713567839,0.0498801568683349,-0.9501198431316651,0.0076721913154407205,6.905669638221933,-0.8448796236822699,3.9112674988213003,3.086253197201532,-92.03668925286986
67.58793969849246,0.053840635711506206,-0.9461593642884938,0.0080918891477853,7.392959655348251,-0.906943342500653,3.849203780002917,3.352947539316559,-91.76999491075485
68.09045226130652,0.058014024667281096,-0.9419859753327189,0.008519441366700575,7.899753710914584,-0.97177916548933,3.7843679570142403,3.636075887957431,-91.48686656211397
68.5929648241206,0.06240406773012272,-0.9375959322698773,0.008954033175483713,8.425735947774369,-1.039378998625833,3.7167681238777375,3.9361080769679253,-91.18683437310348
69.09547738693468,0.06701408903420326,-0.9329859109657967,0.00939480897427666,8.970511207793649,-1.1097256547089223,3.646421467794648,4.253490678591145,-90.86945177148026
