sigma_true,sigma_recovered,abs_error
0.05,0.0500000000687398,6.873979857546786e-11
0.0641025641025641,0.06410256410258314,1.9040324872321435e-14
0.0782051282051282,0.07820512820512802,1.8041124150158794e-16
0.09230769230769231,0.0923076924304561,1.2276378524855858e-10
0.1064102564102564,0.1064102564189192,8.66279270539394e-12
0.12051282051282051,0.1205128205135887,7.681910663137614e-13
0.1346153846153846,0.13461538461546552,8.090750291955828e-14
0.1487179487179487,0.14871794871795826,9.575673587391975e-15
0.1628205128205128,0.16282051282051405,1.2490009027033011e-15
0.1769230769230769,0.1769230769230771,1.942890293094024e-16
0.191025641025641,0.1910256410256411,8.326672684688674e-17
0.20512820512820512,0.20512820512820554,4.163336342344337e-16
0.21923076923076923,0.21923076923076912,1.1102230246251565e-16
0.23333333333333334,0.2333333333333335,1.6653345369377348e-16
0.2474358974358974,0.24743589763813897,2.02241584590368e-10
0.2615384615384615,0.2615384615743602,3.589872843434705e-11
0.2756410256410256,0.27564102564164317,6.175615574477433e-13
0.2897435897435897,0.2897435897479114,4.321709656807116e-12
0.3038461538461538,0.3038461538543345,8.180678356950466e-12
0.31794871794871793,0.317948717946563,2.154942890797429e-12
0.33205128205128204,0.3320512820212629,3.0019153829385914e-11
0.3461538461538461,0.3461538460797837,7.406236735008065e-11
0.3602564102564102,0.3602564101252041,1.3120610153904977e-10
0.3743589743589743,0.37435897416099656,1.9797774530871948e-10
0.3884615384615384,0.38846153846153825,1.6653345369377348e-16
0.4025641025641025,0.40256410256410263,1.1102230246251565e-16
0.41666666666666663,0.4166666666666666,5.551115123125783e-17
0.43076923076923074,0.43076923076923035,3.885780586188048e-16
0.4448717948717948,0.4448717948717949,1.1102230246251565e-16
0.4589743589743589,0.45897435897435884,5.551115123125783e-17
0.473076923076923,0.473076923076923,0.0
0.4871794871794871,0.48717948717948745,3.3306690738754696e-16
0.5012820512820513,0.5012820512820509,3.3306690738754696e-16
0.5153846153846153,0.5153846153846154,1.1102230246251565e-16
0.5294871794871795,0.5294871794871796,1.1102230246251565e-16
0.5435897435897435,0.543589743589744,4.440892098500626e-16
0.5576923076923077,0.5576923076923075,2.220446049250313e-16
0.5717948717948718,0.5717948717948719,1.1102230246251565e-16
0.5858974358974359,0.5858974358974358,1.1102230246251565e-16
0.6,0.6000000000000002,2.220446049250313e-16
